Rank ,Country,Crime Index,Year
1,South Sudan,85.32,2015
2,Venezuela,84.07,2015
3,Guatemala,79.34,2015
4,South Africa,78.44,2015
5,Afghanistan,77.34,2015
6,Guyana,76.88,2015
7,Nigeria,76.6,2015
8,Trinidad And Tobago,75.28,2015
9,Honduras,74.91,2015
10,Bahamas,72.93,2015
11,Kenya,72.61,2015
12,Jamaica,71.91,2015
13,Mongolia,70.25,2015
14,Yemen,70.09,2015
15,Malaysia,69.97,2015
16,Papua New Guinea,69.89,2015
17,Libya,69.64,2015
18,El Salvador,69.44,2015
19,Brazil,68.95,2015
20,Maldives,68.75,2015
21,Angola,67.97,2015
22,Dominican Republic,67.72,2015
23,Puerto Rico,67.06,2015
24,Bolivia,65.6,2015
25,Somalia,65.6,2015
26,Kyrgyzstan,65.07,2015
27,Cameroon,64.84,2015
28,Bangladesh,64.25,2015
29,Costa Rica,63.05,2015
30,Argentina,62.4,2015
31,Haiti,62.31,2015
32,Belize,62.27,2015
33,Zimbabwe,62.18,2015
34,Tanzania,61.8,2015
35,Pakistan,61.16,2015
36,Mozambique,60.47,2015
37,Egypt,60.14,2015
38,Uganda,59.41,2015
39,Uzbekistan,58.13,2015
40,Peru,57.63,2015
41,Colombia,56.88,2015
42,Syria,56.32,2015
43,Namibia,55.59,2015
44,Paraguay,55.57,2015
45,Iraq,54.06,2015
46,Ecuador,54.04,2015
47,Mexico,53.84,2015
48,Vietnam,52.29,2015
49,Lebanon,51.98,2015
50,Algeria,51.34,2015
51,Russia,51.33,2015
52,Iran,50.9,2015
53,Panama,50.08,2015
54,United States,50.01,2015
55,Sri Lanka,49.96,2015
56,Myanmar,49.77,2015
57,France,49.71,2015
58,Moldova,49.7,2015
59,Albania,49.6,2015
60,Fiji,49.44,2015
61,Ghana,49.42,2015
62,Ukraine,49.36,2015
63,Nepal,49.18,2015
64,Ireland,49.07,2015
65,Mauritius,48.53,2015
66,Morocco,47.55,2015
67,Italy,47.5,2015
68,Indonesia,47.22,2015
69,Uruguay,47.17,2015
70,Botswana,46.77,2015
71,Kosovo (Disputed Territory),46.76,2015
72,Kazakhstan,46.68,2015
73,India,46.55,2015
74,Bosnia And Herzegovina,45.82,2015
75,Jordan,45.51,2015
76,Chile,45.01,2015
77,Barbados,44.38,2015
78,Cambodia,44.06,2015
79,Timor-Leste,43.75,2015
80,Kuwait,43.51,2015
81,Bulgaria,43.45,2015
82,Serbia,43.43,2015
83,Philippines,43.11,2015
84,Tunisia,42.67,2015
85,Nicaragua,42.37,2015
86,Australia,42.16,2015
87,Sweden,42.09,2015
88,Belgium,42.04,2015
89,United Kingdom,42.01,2015
90,Hungary,41.76,2015
91,China,41.75,2015
92,Zambia,41.72,2015
93,Greece,41.35,2015
94,Bermuda,40.29,2015
95,Bahrain,39.97,2015
96,New Zealand,39.76,2015
97,Canada,37.46,2015
98,Latvia,37.22,2015
99,Thailand,37.06,2015
100,Lithuania,36.69,2015
101,Turkey,36.4,2015
102,Laos,36.24,2015
103,North Macedonia,36.06,2015
104,Portugal,35.84,2015
105,Luxembourg,35.74,2015
106,Sudan,35.68,2015
107,Azerbaijan,35.47,2015
108,Netherlands,35.41,2015
109,Palestine,35.39,2015
110,Ethiopia,35.07,2015
111,Montenegro,34.89,2015
112,Saudi Arabia,34.57,2015
113,Oman,34.43,2015
114,Spain,33.85,2015
115,Slovakia,33.34,2015
116,Iceland,33.32,2015
117,Poland,32.99,2015
118,Czech Republic,32.89,2015
119,Cyprus,31.56,2015
120,Norway,31.19,2015
121,Belarus,30.5,2015
122,Israel,30.4,2015
123,Brunei,30.35,2015
124,Romania,29.72,2015
125,Finland,29.55,2015
126,Croatia,29.34,2015
127,Armenia,29.14,2015
128,Slovenia,28.71,2015
129,Germany,28.49,2015
130,Estonia,28.13,2015
131,Monaco,27.94,2015
132,Switzerland,26.77,2015
133,Austria,26.25,2015
134,Malta,25.91,2015
135,Denmark,25.71,2015
136,United Arab Emirates,22.22,2015
137,Georgia,22.01,2015
138,Taiwan,21.88,2015
139,Qatar,21.04,2015
140,Japan,20.24,2015
141,Hong Kong,19.24,2015
142,Rwanda,19.16,2015
143,Faroe Islands,18.53,2015
144,South Korea,17.99,2015
145,Turkmenistan,17.86,2015
146,Singapore,17.59,2015
147,Isle Of Man,15.1,2015
1,Venezuela,84.44,2016
2,South Sudan,81.32,2016
3,South Africa,78.43,2016
4,Papua New Guinea,77.58,2016
5,Honduras,76.43,2016
6,Nigeria,74.14,2016
7,Trinidad And Tobago,72.6,2016
8,El Salvador,72.04,2016
9,Brazil,71.23,2016
10,Kenya,69.49,2016
11,Bangladesh,68.56,2016
12,Malaysia,68.55,2016
13,Puerto Rico,65.92,2016
14,Jamaica,65.53,2016
15,Peru,64,2016
16,Guatemala,63.54,2016
17,Argentina,63.28,2016
18,Dominican Republic,63.25,2016
19,Namibia,60.89,2016
20,Tanzania,60.02,2016
21,Zimbabwe,60.02,2016
22,Libya,57.81,2016
23,Mongolia,57.76,2016
24,Algeria,57.58,2016
25,Costa Rica,57.56,2016
26,Pakistan,56.63,2016
27,Bolivia,56.56,2016
28,Egypt,56.53,2016
29,Somalia,55.72,2016
30,Vietnam,55.69,2016
31,Syria,54.73,2016
32,Mauritius,53.69,2016
33,Uruguay,53.06,2016
34,Ecuador,52.95,2016
35,Panama,52.69,2016
36,Iran,52.37,2016
37,Iraq,51.51,2016
38,Mexico,50.8,2016
39,Lebanon,50.56,2016
40,Morocco,50.28,2016
41,Ghana,49.01,2016
42,United States,48.87,2016
43,Ukraine,48.62,2016
44,Colombia,48.51,2016
45,Ireland,48.39,2016
46,Cambodia,48.17,2016
47,Moldova,48.16,2016
48,Albania,48.15,2016
49,Montenegro,47.8,2016
50,Russia,47.31,2016
51,Indonesia,46.97,2016
52,Jordan,46.89,2016
53,India,46.59,2016
54,Sri Lanka,46.26,2016
55,Italy,46.22,2016
56,Kazakhstan,45.88,2016
57,Belgium,45.19,2016
58,Maldives,45.02,2016
59,France,44.06,2016
60,Serbia,43.28,2016
