Country,Rank,Crime Index,Year,,,,Country,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,Average,Average
South Sudan,1,85.32,2015,,,,,Rank,Crime Index,Rank,Crime Index,Rank,Crime Index,Rank,Crime Index,Rank,Crime Index,Rank,Crime Index,Rank,Crime Index
Venezuela,2,84.07,2015,,,,South Sudan,1,85.32,2,81.32,4,78.18,,,,,,,2.33,81.61
Guatemala,3,79.34,2015,,,,Afghanistan,5,77.34,,,6,73.85,,,5,76.63,4,76.23,5,76.01
South Africa,4,78.44,2015,,,,Honduras,9,74.91,5,76.43,3,78.34,3,78.89,3,76.84,5,76.11,4.67,76.92
Afghanistan,5,77.34,2015,,,,Malaysia,15,69.97,12,68.55,18,64.75,15,63.05,19,60.79,27,58.84,17.67,64.33
Guyana,6,76.88,2015,,,,Maldives,20,68.75,58,45.02,57,46.98,30,51.7,27,53.29,37,53.21,38.17,53.16
Nigeria,7,76.6,2015,,,,Bolivia,24,65.6,27,56.56,26,59.5,27,52.89,28,53.29,38,52.93,28.33,56.8
Trinidad And Tobago,8,75.28,2015,,,,Costa Rica,29,63.05,25,57.56,30,55.94,25,53.89,24,56.05,32,56.33,27.5,57.14
Honduras,9,74.91,2015,,,,Tanzania,34,61.8,20,60.02,24,61.39,19,59.83,23,59.01,25,58.95,24.17,60.17
Bahamas,10,72.93,2015,,,,Uzbekistan,39,58.13,,,,,,,,,,,39,58.13
Kenya,11,72.61,2015,,,,Iraq,45,54.06,37,51.51,35,54.35,57,43.34,53,45.56,48,47.78,45.83,49.43
Jamaica,12,71.91,2015,,,,Russia,51,51.33,50,47.31,59,46.05,50,45.2,66,41.93,74,41.12,58.33,45.49
Mongolia,13,70.25,2015,,,,Myanmar,56,49.77,,,,,,,,,55,45.86,55.5,47.82
Yemen,14,70.09,2015,,,,Ukraine,62,49.36,43,48.62,41,51.27,37,49.39,41,48.88,46,48.85,45,49.4
Malaysia,15,69.97,2015,,,,Indonesia,68,47.22,51,46.97,48,49.68,52,44.72,52,46.01,56,45.84,54.5,46.74
Papua New Guinea,16,69.89,2015,,,,Kazakhstan,72,46.68,56,45.88,54,48.29,41,49.15,10,66.51,20,62.02,42.17,53.09
Libya,17,69.64,2015,,,,Barbados,77,44.38,,,,,,,,,,,77,44.38
El Salvador,18,69.44,2015,,,,Serbia,82,43.43,60,43.28,82,38.62,76,37.76,77,37.27,86,37.41,77.17,39.63
Brazil,19,68.95,2015,,,,Sweden,87,42.09,64,43.12,58,46.65,38,49.26,38,49.35,52,47.07,56.17,46.26
Maldives,20,68.75,2015,,,,Zambia,92,41.72,,,,,,,,,,,92,41.72
Angola,21,67.97,2015,,,,Latvia,98,37.22,76,37.79,86,36.45,82,36.89,79,36.77,87,36.95,84.67,37.01
Dominican Republic,22,67.72,2015,,,,North Macedonia,103,36.06,75,38.02,81,38.66,65,40.21,75,39.29,84,38.67,80.5,38.49
Puerto Rico,23,67.06,2015,,,,Netherlands,108,35.41,91,31.47,101,29.89,96,28.94,98,28.57,109,27.62,100.5,30.32
Bolivia,24,65.6,2015,,,,Saudi Arabia,112,34.57,107,25.2,113,23.65,84,36.69,94,29.73,111,26.18,103.5,29.34
Somalia,25,65.6,2015,,,,Czech Republic,118,32.89,89,32.06,99,30.18,97,28.81,100,26.66,112,25.52,102.5,29.35
Kyrgyzstan,26,65.07,2015,,,,Brunei,123,30.35,79,36.96,87,36.07,,,,,107,27.68,99,32.77
Cameroon,27,64.84,2015,,,,Germany,129,28.49,86,32.95,95,32.03,85,36.65,84,34.51,90,34.81,94.83,33.24
Bangladesh,28,64.25,2015,,,,Denmark,135,25.71,106,25.67,117,21.13,105,22.02,102,24.25,113,25.1,113,23.98
Costa Rica,29,63.05,2015,,,,Japan,140,20.24,115,19.34,118,20.89,115,13.1,117,13.73,125,20.66,121.67,17.99
Argentina,30,62.4,2015,,,,Turkmenistan,145,17.86,,,,,,,,,,,145,17.86
Haiti,31,62.31,2015,,,,Venezuela,2,84.07,1,84.44,1,85.28,1,82.59,1,83.23,1,84.49,1.17,84.02
Belize,32,62.27,2015,,,,Guyana,6,76.88,,,,,,,,,10,67.66,8,72.27
Zimbabwe,33,62.18,2015,,,,Bahamas,10,72.93,,,20,63.21,,,,,18,62.86,16,66.33
Tanzania,34,61.8,2015,,,,Papua New Guinea,16,69.89,4,77.58,2,82.38,2,79.95,2,79.88,2,81.93,4.67,78.6
Pakistan,35,61.16,2015,,,,Angola,21,67.97,,,16,65.51,,,,,15,64.97,17.33,66.15
Mozambique,36,60.47,2015,,,,Somalia,25,65.6,29,55.72,27,58.83,,,20,60.1,28,58.5,25.8,59.75
Egypt,37,60.14,2015,,,,Argentina,30,62.4,17,63.28,22,62.63,17,61.79,17,62.55,21,61.77,20.67,62.4
Uganda,38,59.41,2015,,,,Pakistan,35,61.16,26,56.63,34,54.38,31,51.23,48,46.73,63,44.08,39.5,52.37
Uzbekistan,39,58.13,2015,,,,Peru,40,57.63,15,64,19,63.28,13,63.91,13,65.28,8,68.15,18,63.71
Peru,40,57.63,2015,,,,Ecuador,46,54.04,34,52.95,44,50.88,39,49.18,40,48.98,39,50.9,40.33,51.16
Colombia,41,56.88,2015,,,,Iran,52,50.9,36,52.37,43,50.9,36,49.4,39,49.33,43,49.25,41.5,50.36
Syria,42,56.32,2015,,,,France,57,49.71,59,44.06,67,43.66,49,45.29,51,46.39,54,46.79,56.17,45.98
Namibia,43,55.59,2015,,,,Nepal,63,49.18,67,42.15,85,37.15,70,39.51,81,36.44,92,34.56,76.33,39.83
Paraguay,44,55.57,2015,,,,Uruguay,69,47.17,33,53.06,40,51.64,29,51.83,31,52.01,35,53.81,39.5,51.59
Iraq,45,54.06,2015,,,,India,73,46.55,53,46.59,66,43.96,55,44.16,63,42.72,68,43.32,63,44.55
Ecuador,46,54.04,2015,,,,Cambodia,78,44.06,46,48.17,32,54.61,24,54.38,34,51.28,40,50.66,42.33,50.53
Mexico,47,53.84,2015,,,,Philippines,83,43.11,77,37.61,77,39.77,66,40.13,68,40.83,70,42.16,73.5,40.6
Vietnam,48,52.29,2015,,,,Belgium,88,42.04,57,45.19,64,44.51,60,42.17,64,42.46,64,43.98,66.17,43.39
Lebanon,49,51.98,2015,,,,Greece,93,41.35,74,38.46,74,40.32,74,39.07,76,38.57,78,40.32,78.17,39.68
Algeria,50,51.34,2015,,,,Thailand,99,37.06,65,42.56,47,49.78,46,47.25,49,46.66,77,40.48,63.83,43.97
Russia,51,51.33,2015,,,,Portugal,104,35.84,83,35.13,88,35.39,89,34.54,91,32.13,101,29.63,92.67,33.78
Iran,52,50.9,2015,,,,Palestine,109,35.39,,,84,38.01,75,37.95,78,36.99,66,43.59,82.4,38.39
Panama,53,50.08,2015,,,,Oman,113,34.43,100,28.98,111,24.47,99,27.37,105,22.83,123,20.79,108.5,26.48
United States,54,50.01,2015,,,,Cyprus,119,31.56,95,30.19,94,32.46,93,30.18,96,29.31,100,30.01,99.5,30.62
Sri Lanka,55,49.96,2015,,,,Romania,124,29.72,98,29.72,104,27.95,95,29.04,99,27.84,108,27.64,104.67,28.65
Myanmar,56,49.77,2015,,,,Estonia,130,28.13,108,24.67,114,23,108,20.83,112,20.8,119,23.14,115.17,23.43
France,57,49.71,2015,,,,United Arab Emirates,136,22.22,110,23.08,121,20.66,112,18.75,116,16.32,127,15.7,120.33,19.46
Moldova,58,49.7,2015,,,,Hong Kong,141,19.24,114,20.85,120,20.68,107,20.9,114,19.32,124,20.7,120,20.28
Albania,59,49.6,2015,,,,Singapore,146,17.59,116,15.81,124,16.58,113,16.23,110,21.47,99,30.57,118,19.71
Fiji,60,49.44,2015,,,,Guatemala,3,79.34,16,63.54,25,59.58,21,59.35,25,55.92,30,57.83,20,62.59
Ghana,61,49.42,2015,,,,Nigeria,7,76.6,6,74.14,8,70.87,14,63.12,15,64.41,17,63.77,11.17,68.82
Ukraine,62,49.36,2015,,,,Kenya,11,72.61,10,69.49,17,64.96,20,59.77,26,54.82,22,61.66,17.67,63.89
Nepal,63,49.18,2015,,,,Libya,17,69.64,22,57.81,33,54.47,22,56.74,22,59.18,19,62.19,22.5,60.01
Ireland,64,49.07,2015,,,,Dominican Republic,22,67.72,18,63.25,23,62.62,18,61.53,18,61.35,23,61.16,20.33,62.94
Mauritius,65,48.53,2015,,,,Kyrgyzstan,26,65.07,,,,,,,,,,,26,65.07
Morocco,66,47.55,2015,,,,Haiti,31,62.31,,,,,,,,,,,31,62.31
Italy,67,47.5,2015,,,,Mozambique,36,60.47,,,,,,,,,,,36,60.47
Indonesia,68,47.22,2015,,,,Colombia,41,56.88,44,48.51,39,51.69,34,50.66,35,51.26,33,54.79,37.67,52.3
Uruguay,69,47.17,2015,,,,Mexico,47,53.84,38,50.8,45,50.32,32,51.05,30,52.3,34,53.97,37.67,52.05
Botswana,70,46.77,2015,,,,Panama,53,50.08,35,52.69,46,50.01,43,48.35,50,46.43,51,47.19,46.33,49.13
Kosovo (Disputed Territory),71,46.76,2015,,,,Moldova,58,49.7,47,48.16,62,45.35,48,45.66,55,45.45,60,44.98,55,46.55
Kazakhstan,72,46.68,2015,,,,Ireland,64,49.07,45,48.39,60,45.77,56,43.82,57,44.52,57,45.43,56.5,46.17
India,73,46.55,2015,,,,Botswana,70,46.77,,,28,58.22,,,,,36,53.49,44.67,52.83
Bosnia And Herzegovina,74,45.82,2015,,,,Bosnia And Herzegovina,74,45.82,66,42.46,72,40.97,67,40.05,60,43.79,69,43.03,68,42.69
Jordan,75,45.51,2015,,,,Timor-Leste,79,43.75,,,,,,,,,,,79,43.75
Chile,76,45.01,2015,,,,Tunisia,84,42.67,73,38.9,73,40.94,64,40.43,65,42.29,71,41.88,71.67,41.19
Barbados,77,44.38,2015,,,,United Kingdom,89,42.01,62,43.13,70,41.19,62,41.2,62,42.72,65,43.71,68.33,42.33
Cambodia,78,44.06,2015,,,,Bermuda,94,40.29,,,,,,,,,,,94,40.29
Timor-Leste,79,43.75,2015,,,,Lithuania,100,36.69,61,43.15,76,40.03,77,37.59,80,36.51,94,33.06,81.33,37.84
