,Country,2015,2016,2017,2018,2019
0,Switzerland,68.3,66.3,67.7,68.4,67.2
1,Sweden,62.4,63.6,63.8,63.1,63.7
2,United Kingdom,62.4,61.9,60.9,60.1,61.3
3,Netherlands,61.6,58.3,63.4,63.3,61.4
4,United States of America,60.1,61.4,61.4,59.8,61.7
5,Finland,60.0,59.9,58.5,59.6,59.8
6,Hong Kong (China),57.2,55.7,53.9,54.6,55.5
7,Singapore,59.4,59.2,58.7,59.8,58.4
8,Denmark,57.7,58.5,58.7,58.4,58.4
9,Ireland,59.1,59.0,58.1,57.2,56.1
10,Canada,55.7,54.7,53.7,53.0,53.9
11,Luxembourg,59.0,57.1,56.4,54.5,53.5
12,Iceland,57.0,56.0,55.8,51.2,51.5
13,Israel,53.5,52.3,53.9,56.8,57.4
14,Germany,57.1,57.9,58.4,58.0,58.2
15,Norway,53.8,52.0,53.1,52.6,51.9
16,New Zealand,55.9,54.2,52.9,51.3,49.6
17,"Korea, Republic of",56.3,57.1,57.7,56.6,56.6
18,Australia,55.2,53.1,51.8,52.0,50.3
19,France,53.6,54.0,54.2,54.4,54.2
20,Belgium,50.9,52.0,49.9,50.5,50.2
21,Japan,54.0,54.5,54.7,55.0,54.7
22,Austria,54.1,52.6,53.1,51.3,50.9
23,Malta,50.5,50.4,50.6,50.3,49.0
24,Estonia,52.8,51.7,50.9,50.5,50.0
25,Spain,49.1,49.2,48.8,48.7,47.9
26,Cyprus,43.5,46.3,46.8,47.8,48.3
27,Czech Republic,51.3,49.4,51.0,48.7,49.4
28,Italy,46.4,47.2,47.0,46.3,46.3
29,Slovenia,48.5,46.0,45.8,46.9,45.3
30,Hungary,43.0,44.7,41.7,44.9,44.5
31,Malaysia,46.0,43.4,42.7,43.0,42.7
32,Latvia,45.5,44.3,44.6,43.2,43.2
33,Portugal,46.6,46.4,46.1,45.7,44.6
34,China,47.5,50.6,52.5,53.1,54.8
35,Slovakia,43.0,41.7,43.4,42.9,42.0
36,Croatia,41.7,38.3,39.8,40.7,37.8
37,United Arab Emirates,40.1,39.4,43.2,42.6,42.2
38,Costa Rica,38.6,38.4,37.1,35.7,36.1
39,Lithuania,42.3,41.8,41.2,41.2,41.5
40,Bulgaria,42.2,41.4,42.8,42.6,40.3
41,Saudi Arabia,40.7,37.8,36.2,34.3,32.9
42,Qatar,39.0,37.5,37.9,36.6,33.9
43,Montenegro,41.2,37.4,38.1,36.5,37.7
44,"Moldova, Republic of",40.5,38.4,36.8,37.6,35.5
45,Chile,41.2,38.4,38.7,37.8,36.6
47,Romania,38.2,37.9,39.2,37.6,36.8
48,Poland,40.2,40.2,42.0,41.7,41.3
49,Kuwait,33.2,33.6,36.1,34.4,34.6
50,Macedonia,38.0,35.4,35.4,29.9,35.3
51,Uruguay,35.8,34.3,34.5,34.2,34.3
52,Mauritius,39.2,35.9,34.8,31.3,30.6
53,Serbia,36.5,33.8,35.3,35.5,35.7
54,Greece,40.3,39.8,38.8,38.9,38.9
55,Argentina,34.3,30.2,32.0,30.7,31.9
