"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","64.8"
"2","United Kingdom","","Strength","-","62.4"
"3","Sweden","","Strength","-","62.3"
"4","Finland","","","-","60.7"
"5","Netherlands","","Strength","-","60.6"
"6","United States of America","","","-","60.1"
"7","Singapore","","","-","59.2"
"8","Denmark","","","-","57.5"
"9","Luxembourg","","","-","56.9"
"10","Hong Kong (China)","","","-","56.8"
"11","Ireland","","","-","56.7"
"12","Canada","","","-","56.1"
"13","Germany","","","-","56.0"
"14","Norway","","","-","55.6"
"15","Israel","","","-","55.5"
"16","Korea, Rep.","","","-","55.3"
"17","Australia","","","-","55.0"
"18","New Zealand","","","-","54.5"
"19","Iceland","","","-","54.1"
"20","Austria","","","-","53.4"
"21","Japan","","","-","52.4"
"22","France","","","-","52.2"
"23","Belgium","","","-","51.7"
"24","Estonia","","","-","51.5"
"25","Malta","","","-","50.4"
"26","Czech Republic","","","-","50.2"
"27","Spain","","","-","49.3"
"28","Slovenia","","","-","47.2"
"29","China","","","-","46.6"
"30","Cyprus","","","-","45.8"
"31","Italy","","","-","45.7"
"32","Portugal","","","-","45.6"
"33","Malaysia","","","-","45.6"
"34","Latvia","","","-","44.8"
"35","Hungary","","","-","44.6"
"36","United Arab Emirates","","","-","43.2"
"37","Slovakia","","","-","41.9"
"38","Saudi Arabia","","","-","41.6"
"39","Lithuania","","","-","41.0"
"40","Mauritius","","","-","40.9"
"41","Barbados","","","-","40.8"
"42","Croatia","","","-","40.7"
"43","Moldova, Rep.","","","-","40.7"
"44","Bulgaria","","","-","40.7"
"45","Poland","","","-","40.6"
"46","Chile","","","-","40.6"
"47","Qatar","","","-","40.3"
"48","Thailand","","","-","39.3"
"49","Russian Federation","","","-","39.1"
"50","Greece","","","-","38.9"
"51","Seychelles","","","-","38.6"
"52","Panama","","","-","38.3"
"53","South Africa","","","-","38.2"
"54","Turkey","","","-","38.2"
"55","Romania","","","-","38.1"
"56","Mongolia","","","-","37.5"
"57","Costa Rica","","","-","37.3"
"58","Belarus","","","-","37.1"
"59","Montenegro","","","-","37.0"
"60","The Former Yugoslav Republic (FYR) of Macedonia","","","-","36.9"
"61","Brazil","","","-","36.3"
"62","Bahrain","","","-","36.3"
"63","Ukraine","","","-","36.3"
"64","Jordan","","","-","36.2"
"65","Armenia","","","-","36.1"
"66","Mexico","","","-","36.0"
"67","Serbia","","","-","35.9"
"68","Colombia","","","-","35.5"
"69","Kuwait","","","-","35.2"
"70","Argentina","","","-","35.1"
"71","Viet Nam","","","-","34.9"
"72","Uruguay","","","-","34.8"
"73","Peru","","","-","34.7"
"74","Georgia","","","-","34.5"
"75","Oman","","","-","33.9"
"76","India","","","-","33.7"
"77","Lebanon","","","-","33.6"
"78","Tunisia","","","-","32.9"
"79","Kazakhstan","","","-","32.8"
"80","Guyana","","","-","32.5"
"81","Bosnia and Herzegovina","","","-","32.4"
"82","Jamaica","","","-","32.4"
"83","Dominican Republic","","","-","32.3"
"","Morocco","","","-","32.2"
"85","Kenya","","","-","31.9"
"86","Bhutan","","","-","31.8"
"87","Indonesia","","","-","31.8"
"88","Brunei Darussalam","","","-","31.7"
"89","Paraguay","","","-","31.6"
"90","Trinidad and Tobago","","","-","31.6"
"91","Uganda","","","-","31.1"
"92","Botswana","","","-","30.9"
"93","Guatemala","","","-","30.8"
"94","Albania","","","-","30.5"
"95","Fiji","","","-","30.4"
"96","Ghana","","","-","30.3"
"97","Cabo Verde","","","-","30.1"
"98","Senegal","","","-","30.1"
"99","Egypt","","","-","30.0"
"100","Philippines","","","-","29.9"
"101","Azerbaijan","","","-","29.6"
"102","Rwanda","","","-","29.3"
"103","El Salvador","","","-","29.1"
"104","Gambia","","","-","29.0"
"105","Sri Lanka","","","-","29.0"
"106","Cambodia","","","-","28.7"
"107","Mozambique","","","-","28.5"
"108","Namibia","","","-","28.5"
"109","Burkina Faso","","","-","28.2"
"110","Nigeria","","","-","27.8"
"111","Bolivia, Plurinational St.","","","-","27.8"
"112","Kyrgyzstan","","","-","27.8"
"113","Malawi","","","-","27.6"
"114","Cameroon","","","-","27.5"
"115","Ecuador","","","-","27.5"
"116","Cote dIvoire","","Weakness","-","27.0"
"117","Lesotho","","","-","27.0"
"118","Honduras","","","-","26.7"
"119","Mali","","","-","26.2"
"120","Iran, Islamic Rep.","","","-","26.1"
"121","Zambia","","","-","25.8"
"122","Venezuela, Bolivarian Rep.","","","-","25.7"
"123","Tanzania, United Rep.","","","-","25.6"
"124","Madagascar","","Weakness","-","25.5"
"125","Nicaragua","","","-","25.5"
"126","Ethiopia","","","-","25.4"
"127","Swaziland","","","-","25.3"
"128","Uzbekistan","","Weakness","-","25.2"
"129","Bangladesh","","","-","24.4"
"130","Zimbabwe","","Weakness","-","24.3"
"131","Niger","","","-","24.3"
"132","Benin","","","-","24.2"
"133","Algeria","","Weakness","-","24.2"
"134","Pakistan","","Weakness","-","24.0"
"135","Angola","","","-","23.8"
"136","Nepal","","","-","23.8"
"137","Tajikistan","","","-","23.7"
"138","Burundi","","","-","22.4"
"139","Guinea","","","-","20.2"
"140","Myanmar","","","-","19.6"
"141","Yemen","","Weakness","-","19.5"
"142","Togo","","Weakness","-","17.6"
"143","Sudan","","Weakness","-","12.7"
