rank,Economy,2013,2014,2015,2016,2017,2018,2019
,Switzerland,66.6,64.8,68.3,66.3,67.7,68.4,67.2
,Sweden,61.4,62.3,62.4,63.6,63.8,63.1,63.7
,United Kingdom,61.2,62.4,62.4,61.9,60.9,60.1,61.3
,Netherlands,61.1,60.6,61.6,58.3,63.4,63.3,61.4
,United States of America,60.3,60.1,60.1,61.4,61.4,59.8,61.7
,Finland,59.5,60.7,60,59.9,58.5,59.6,59.8
,Hong Kong (China),59.4,56.8,57.2,55.7,53.9,54.6,55.5
,Singapore,59.4,59.2,59.4,59.2,58.7,59.8,58.4
,Denmark,58.3,57.5,57.7,58.5,58.7,58.4,58.4
,Ireland,57.9,56.7,59.1,59,58.1,57.2,56.1
,Canada,57.6,56.1,55.7,54.7,53.7,53,53.9
,Luxembourg,56.6,56.9,59,57.1,56.4,54.5,53.5
,Iceland,56.4,54.1,57,56,55.8,51.2,51.5
,Israel,56,55.5,53.5,52.3,53.9,56.8,57.4
,Germany,55.8,56,57.1,57.9,58.4,58,58.2
,Norway,55.6,55.6,53.8,52,53.1,52.6,51.9
,New Zealand,54.5,54.5,55.9,54.2,52.9,51.3,49.6
,"Korea, Republic of",53.3,55.3,56.3,57.1,57.7,56.6,56.6
,Australia,53.1,55,55.2,53.1,51.8,52,50.3
,France,52.8,52.2,53.6,54,54.2,54.4,54.2
,Belgium,52.5,51.7,50.9,52,49.9,50.5,50.2
,Japan,52.2,52.4,54,54.5,54.7,55,54.7
,Austria,51.9,53.4,54.1,52.6,53.1,51.3,50.9
,Malta,51.8,50.4,50.5,50.4,50.6,50.3,49
,Estonia,50.6,51.5,52.8,51.7,50.9,50.5,50
,Spain,49.4,49.3,49.1,49.2,48.8,48.7,47.9
,Cyprus,49.3,45.8,43.5,46.3,46.8,47.8,48.3
,Czech Republic,48.4,50.2,51.3,49.4,51,48.7,49.4
,Italy,47.8,45.7,46.4,47.2,47,46.3,46.3
,Slovenia,47.3,47.2,48.5,46,45.8,46.9,45.3
,Hungary,46.9,44.6,43,44.7,41.7,44.9,44.5
,Malaysia,46.9,45.6,46,43.4,42.7,43,42.7
,Latvia,45.2,44.8,45.5,44.3,44.6,43.2,43.2
,Portugal,45.1,45.6,46.6,46.4,46.1,45.7,44.6
,China,44.7,46.6,47.5,50.6,52.5,53.1,54.8
,Slovakia,42.2,41.9,43,41.7,43.4,42.9,42
,Croatia,41.9,40.7,41.7,38.3,39.8,40.7,37.8
,United Arab Emirates,41.9,43.2,40.1,39.4,43.2,42.6,42.2
,Costa Rica,41.5,37.3,38.6,38.4,37.1,35.7,36.1
,Lithuania,41.4,41,42.3,41.8,41.2,41.2,41.5
,Bulgaria,41.3,40.7,42.2,41.4,42.8,42.6,40.3
,Saudi Arabia,41.2,41.6,40.7,37.8,36.2,34.3,32.9
,Qatar,41,40.3,39,37.5,37.9,36.6,33.9
,Montenegro,41,37,41.2,37.4,38.1,36.5,37.7
,"Moldova, Republic of",40.9,40.7,40.5,38.4,36.8,37.6,35.5
,Chile,40.6,40.6,41.2,38.4,38.7,37.8,36.6
,Barbados,40.5,40.8,42.5,,,,
,Romania,40.3,38.1,38.2,37.9,39.2,37.6,36.8
,Poland,40.1,40.6,40.2,40.2,42,41.7,41.3
,Kuwait,40,35.2,33.2,33.6,36.1,34.4,34.6
,Macedonia,38.2,36.9,38,35.4,35.4,29.9,35.3
,Uruguay,38.1,34.8,35.8,34.3,34.5,34.2,34.3
,Mauritius,38,40.9,39.2,35.9,34.8,31.3,30.6
,Serbia,37.9,35.9,36.5,33.8,35.3,35.5,35.7
,Greece,37.7,38.9,40.3,39.8,38.8,38.9,38.9
,Argentina,37.7,35.1,34.3,30.2,32,30.7,31.9
,Thailand,37.6,39.3,38.1,36.5,37.6,38,38.6
,South Africa,37.6,38.2,37.4,35.8,35.8,35.1,34
,Armenia,37.6,36.1,37.3,35.1,35.7,32.8,34
,Colombia,37.4,35.5,36.4,34.2,34.8,33.8,33
,Jordan,37.3,36.2,33.8,30,30.5,30.8,29.6
,Russian Federation,37.2,39.1,39.3,38.5,38.8,37.9,37.6
,Mexico,36.8,36,38,34.6,35.8,35.3,36.1
,Brazil,36.3,36.3,34.9,33.2,33.1,33.4,33.8
,Bosnia and Herzegovina,36.2,32.4,32.3,29.6,30.2,31.1,31.4
,India,36.2,33.7,31.7,33.6,35.5,35.2,36.6
,Bahrain,36.1,36.3,37.7,35.5,34.7,31.7,31.1
,Turkey,36,38.2,37.8,39,38.9,37.4,36.9
,Peru,36,34.7,34.9,32.5,32.9,31.8,32.9
,Tunisia,35.8,32.9,33.5,30.6,32.3,32.9,32.8
,Ukraine,35.8,36.3,36.5,35.7,37.6,38.5,37.4
,Mongolia,35.8,37.5,36.4,35.7,37.1,35.9,36.3
,Georgia,35.6,34.5,33.8,33.9,34.4,35,37
,Brunei Darussalam,35.5,31.7,,,32.9,32.8,32.3
,Lebanon,35.5,33.6,33.8,32.7,30.6,28.2,28.5
,Viet Nam,34.8,34.9,38.3,35.4,38.3,37.9,38.8
,Belarus,34.6,37.1,38.2,30.4,30,29.4,32.1
,Guyana,34.4,32.5,30.7,,,,
,Dominican Republic,33.3,32.3,30.6,30.6,31.2,29.3,28.6
,Oman,33.3,33.9,35,32.2,31.8,32.8,31
,Trinidad and Tobago,33.2,31.6,32.2,,29.7,27,28.1
,Jamaica,32.9,32.4,29.9,29,30.4,30.4,30.8
,Ecuador,32.8,27.5,26.9,27.1,29.1,26.8,26.6
,Kazakhstan,32.7,32.8,31.2,31.5,31.5,31.4,31
,Indonesia,32,31.8,29.8,29.1,30.1,29.8,29.7
,Panama,31.8,38.3,36.8,33.5,35,32.4,31.5
,Guatemala,31.5,30.8,28.8,27.3,27.9,25.5,25.1
,El Salvador,31.3,29.1,29.3,26.6,26.7,25.1,24.9
,Uganda,31.2,31.1,27.6,27.1,27,25.3,25.6
,Philippines,31.2,29.9,31.1,31.8,32.5,31.6,36.2
,Botswana,31.1,30.9,30.5,29,30,28.2,27.4
,Morocco,30.9,32.2,33.2,32.3,32.7,31.1,31.6
,Albania,30.9,30.5,30.7,28.4,28.9,30,30.3
,Ghana,30.6,30.3,28,26.7,,24.5,25.3
,"Bolivia, Plurinational State of",30.5,27.8,28.6,25.2,25.6,22.9,
,Senegal,30.5,30.1,31,26.1,27.1,26.5,26.8
,Fiji,30.5,30.4,27.3,,,,
,Sri Lanka,30.4,29,30.8,28.9,29.9,28.7,28.5
,Kenya,30.3,31.9,30.2,30.4,31,31.1,31.1
,Paraguay,30.3,31.6,30.7,28.2,30.3,28.7,27.1
,Tajikistan,30,23.7,27.5,29.6,28.2,26.5,26.4
,Belize,30,,,,,,
,Cape Verde,29.7,,,,,,
,Swaziland,29.6,25.3,25.4,,,,
,Azerbaijan,29,29.6,30.1,29.6,30.6,30.2,30.2
