Country	Days of Sunshine per Year	Year
Afghanistan	124	2015
Argentina	55	2015
Australia	114	2015
Bahamas	119	2015
Bahrain	139	2015
Belarus	74	2015
Belgium	62	2015
Benin	53	2015
Bosnia And Herzegovina	73	2015
Brazil	94	2015
Brunei Darussalam	106	2015
Bulgaria	88	2015
Cape Verde	34	2015
Chad	68	2015
China	100	2015
Colombia	82	2015
Croatia	91	2015
Cyprus	138	2015
Czech Republic	66	2015
Djibouti	136	2015
Dominican Republic	119	2015
Eritrea	121	2015
Estonia	75	2015
Finland	69	2015
France	87	2015
Gabon	61	2015
Germany	67	2015
Guinea	102	2015
Hong Kong	81	2015
Iceland	48	2015
India	100	2015
Iran	117	2015
Israel	139	2015
Italy	94	2015
Japan	76	2015
Jordan	71	2015
Kenya	122	2015
Kuwait	64	2015
Latvia	71	2015
Lithuania	72	2015
Luxembourg	67	2015
Malawi	116	2015
Mexico	105	2015
Moldova	88	2015
Netherlands	61	2015
New Caledonia	103	2015
Nicaragua	101	2015
Niger	71	2015
Nigeria	99	2015
Norway	49	2015
Oman	136	2015
Pakistan	127	2015
Poland	62	2015
Portugal	102	2015
Qatar	143	2015
Romania	84	2015
Senegal	125	2015
Sierra Leone	83	2015
Singapore	84	2015
South Africa	97	2015
Sri Lanka	109	2015
Sweden	99	2015
Switzerland	97	2015
Syria	98	2015
Thailand	98	2015
Macedonia	91	2015
Tunisia	66	2015
United Arab Emirates	75	2015
United Kingdom	59	2015
United States	113	2015
Uruguay	91	2015
Uzbekistan	81	2015
Venezuela	92	2015
Yugoslavia	93	2015
Zambia	94	2015
Zimbabwe	94	2015
Afghanistan	124	2016
Argentina	55	2016
Australia	114	2016
Bahamas	119	2016
Bahrain	139	2016
Belarus	74	2016
Belgium	62	2016
Benin	53	2016
Bosnia And Herzegovina	73	2016
Brazil	94	2016
Brunei Darussalam	106	2016
Bulgaria	88	2016
Cape Verde	34	2016
Chad	68	2016
China	100	2016
Colombia	82	2016
Croatia	91	2016
Cyprus	138	2016
Czech Republic	66	2016
Djibouti	136	2016
Dominican Republic	119	2016
Eritrea	121	2016
Estonia	75	2016
Finland	69	2016
France	87	2016
Gabon	61	2016
Germany	67	2016
Guinea	102	2016
Hong Kong	81	2016
Iceland	48	2016
India	100	2016
Iran	117	2016
Israel	139	2016
Italy	94	2016
Japan	76	2016
Jordan	71	2016
Kenya	122	2016
Kuwait	64	2016
Latvia	71	2016
Lithuania	72	2016
Luxembourg	67	2016
Malawi	116	2016
Mexico	105	2016
Moldova	88	2016
Netherlands	61	2016
New Caledonia	103	2016
Nicaragua	101	2016
Niger	71	2016
Nigeria	99	2016
Norway	49	2016
Oman	136	2016
Pakistan	127	2016
Poland	62	2016
Portugal	102	2016
Qatar	143	2016
Romania	84	2016
Senegal	125	2016
Sierra Leone	83	2016
Singapore	84	2016
South Africa	97	2016
Sri Lanka	109	2016
Sweden	99	2016
Switzerland	97	2016
Syria	98	2016
Thailand	98	2016
Macedonia	91	2016
Tunisia	66	2016
United Arab Emirates	75	2016
United Kingdom	59	2016
United States	113	2016
Uruguay	91	2016
Uzbekistan	81	2016
Venezuela	92	2016
Yugoslavia	93	2016
Zambia	94	2016
Zimbabwe	94	2016
Afghanistan	124	2017
Argentina	55	2017
Australia	114	2017
Bahamas	119	2017
Bahrain	139	2017
Belarus	74	2017
Belgium	62	2017
Benin	53	2017
Bosnia And Herzegovina	73	2017
Brazil	94	2017
Brunei Darussalam	106	2017
Bulgaria	88	2017
Cape Verde	34	2017
